trial_i,prime_file,prime_valence,correct_word,distractor_word,babbling_file,mask1_file,mask2_file,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,main.thisRepN,main.thisTrialN,main.thisN,main.thisIndex,response_key,rt,correct_key,accuracy,left_word,right_word,Participant ID,Session,date
47,knude_compressed.wav,neutral,knude,ketchup,babble_22.wav,feber_reversed.wav,blodig_reversed.wav,,,,,0,9,9,9,left,1.90123987197876,left,1,knude,ketchup,6702,1,2025-11-24_10-57-48
71,genert_compressed.wav,neutral,genert,museum,babble_88.wav,bange_reversed.wav,poesi_reversed.wav,,,,,0,10,10,10,right,0.5446250438690186,right,1,museum,genert,6702,1,2025-11-24_10-57-48
37,blodig_compressed.wav,negative,blodig,mester,babble_62.wav,konkurs_reversed.wav,lækker_reversed.wav,,,,,0,11,11,11,left,1.799407958984375,left,1,blodig,mester,6702,1,2025-11-24_10-57-48
1,djævel_compressed.wav,negative,djævel,genert,babble_16.wav,sexet_reversed.wav,kæle_reversed.wav,,,,,0,12,12,12,right,1.2751147747039795,right,1,genert,djævel,6702,1,2025-11-24_10-57-48
19,hånlig_compressed.wav,negative,hånlig,himlen,babble_19.wav,søsyg_reversed.wav,pervers_reversed.wav,,,,,0,13,13,13,right,1.7176339626312256,right,1,himlen,hånlig,6702,1,2025-11-24_10-57-48
52,traume_compressed.wav,negative,traume,lærer,babble_39.wav,grimme_reversed.wav,rotte_reversed.wav,,,,,0,14,14,14,right,0.9763460159301758,right,1,lærer,traume,6702,1,2025-11-24_10-57-48
24,motor_compressed.wav,neutral,motor,illoyal,babble_40.wav,grimme_reversed.wav,skuffe_reversed.wav,,,,,0,15,15,15,right,0.9495408535003662,right,1,illoyal,motor,6702,1,2025-11-24_10-57-48
57,gaffel_compressed.wav,neutral,gaffel,kedel,babble_33.wav,rabies_reversed.wav,sæde_reversed.wav,,,,,0,16,16,16,left,0.7533080577850342,left,1,gaffel,kedel,6702,1,2025-11-24_10-57-48
38,spise_compressed.wav,positive,spise,lampe,babble_4.wav,lyse_reversed.wav,nonsens_reversed.wav,,,,,0,17,17,17,left,0.8519940376281738,left,1,spise,lampe,6702,1,2025-11-24_10-57-48
17,intim_compressed.wav,positive,intim,penge,babble_60.wav,sejre_reversed.wav,ketchup_reversed.wav,,,,,0,18,18,18,right,0.3471741676330566,right,1,penge,intim,6702,1,2025-11-24_10-57-48
88,lækker_compressed.wav,positive,lækker,ferie,babble_85.wav,nøgle_reversed.wav,magisk_reversed.wav,,,,,0,19,19,19,left,1.3695390224456787,left,1,lækker,ferie,6702,1,2025-11-24_10-57-48
28,rabies_compressed.wav,negative,rabies,tortur,babble_41.wav,violin_reversed.wav,frihed_reversed.wav,,,,,0,20,20,20,right,1.969085931777954,left,0,rabies,tortur,6702,1,2025-11-24_10-57-48
21,banner_compressed.wav,neutral,banner,frygtsom,babble_41.wav,forfald_reversed.wav,poesi_reversed.wav,,,,,0,21,21,21,right,1.8446159362792969,right,1,frygtsom,banner,6702,1,2025-11-24_10-57-48
14,engel_compressed.wav,positive,engel,gave,babble_19.wav,mave_reversed.wav,fase_reversed.wav,,,,,0,22,22,22,right,1.9245760440826416,right,1,gave,engel,6702,1,2025-11-24_10-57-48
41,trofæ_compressed.wav,positive,trofæ,dæmpet,babble_93.wav,giftig_reversed.wav,slave_reversed.wav,,,,,0,23,23,23,left,1.486630916595459,left,1,trofæ,dæmpet,6702,1,2025-11-24_10-57-48
5,enhed_compressed.wav,neutral,enhed,oprørt,babble_84.wav,skyldig_reversed.wav,blodig_reversed.wav,,,,,0,24,24,24,right,1.137104034423828,right,1,oprørt,enhed,6702,1,2025-11-24_10-57-48
64,bombe_compressed.wav,negative,bombe,misbrug,babble_57.wav,taxa_reversed.wav,pervers_reversed.wav,,,,,0,25,25,25,left,2.6763179302215576,right,0,misbrug,bombe,6702,1,2025-11-24_10-57-48
